"date","state","positive"
"20200310","AN",0
"20200311","AN",0
"20200312","AN",0
"20200313","AN",0
"20200314","AN",0
"20200315","AN",0
"20200316","AN",0
"20200317","AN",0
"20200318","AN",0
"20200319","AN",0
"20200320","AN",0
"20200321","AN",0
"20200322","AN",0
"20200323","AN",0
"20200324","AN",0
"20200325","AN",0
"20200326","AN",1
"20200327","AN",1
"20200328","AN",6
"20200329","AN",9
"20200330","AN",9
"20200331","AN",10
"20200401","AN",10
"20200402","AN",10
"20200403","AN",10
"20200404","AN",10
"20200405","AN",10
"20200406","AN",10
"20200407","AN",10
"20200408","AN",10
"20200409","AN",11
"20200410","AN",11
"20200411","AN",11
"20200412","AN",11
"20200413","AN",11
"20200414","AN",11
"20200415","AN",11
"20200416","AN",11
"20200417","AN",11
"20200418","AN",12
"20200419","AN",14
"20200420","AN",15
"20200421","AN",16
"20200310","AP",0
"20200311","AP",0
"20200312","AP",0
"20200313","AP",1
"20200314","AP",1
"20200315","AP",1
"20200316","AP",1
"20200317","AP",1
"20200318","AP",1
"20200319","AP",2
"20200320","AP",3
"20200321","AP",3
"20200322","AP",5
"20200323","AP",7
"20200324","AP",8
"20200325","AP",9
"20200326","AP",11
"20200327","AP",12
"20200328","AP",14
"20200329","AP",19
"20200330","AP",23
"20200331","AP",40
"20200401","AP",83
"20200402","AP",86
"20200403","AP",132
"20200404","AP",161
"20200405","AP",190
"20200406","AP",226
"20200407","AP",266
"20200408","AP",305
"20200409","AP",348
"20200410","AP",363
"20200411","AP",381
"20200412","AP",381
"20200413","AP",432
"20200414","AP",473
"20200415","AP",503
"20200416","AP",534
"20200417","AP",572
"20200418","AP",603
"20200419","AP",603
"20200420","AP",722
"20200421","AP",722
"20200310","AR",0
"20200311","AR",0
"20200312","AR",0
"20200313","AR",0
"20200314","AR",0
"20200315","AR",0
"20200316","AR",0
"20200317","AR",0
"20200318","AR",0
"20200319","AR",0
"20200320","AR",0
"20200321","AR",0
"20200322","AR",0
"20200323","AR",0
"20200324","AR",0
"20200325","AR",0
"20200326","AR",0
"20200327","AR",0
"20200328","AR",0
"20200329","AR",0
"20200330","AR",0
"20200331","AR",0
"20200401","AR",0
"20200402","AR",0
"20200403","AR",1
"20200404","AR",1
"20200405","AR",1
"20200406","AR",1
"20200407","AR",1
"20200408","AR",1
"20200409","AR",1
"20200410","AR",1
"20200411","AR",1
"20200412","AR",1
"20200413","AR",1
"20200414","AR",1
"20200415","AR",1
"20200416","AR",1
"20200417","AR",1
"20200418","AR",1
"20200419","AR",1
"20200420","AR",1
"20200421","AR",1
"20200310","AS",0
"20200311","AS",0
"20200312","AS",0
"20200313","AS",0
"20200314","AS",0
"20200315","AS",0
"20200316","AS",0
"20200317","AS",0
"20200318","AS",0
"20200319","AS",0
"20200320","AS",0
"20200321","AS",0
"20200322","AS",0
"20200323","AS",0
"20200324","AS",0
"20200325","AS",0
"20200326","AS",0
"20200327","AS",0
"20200328","AS",0
"20200329","AS",0
"20200330","AS",0
"20200331","AS",0
"20200401","AS",1
"20200402","AS",5
"20200403","AS",16
"20200404","AS",24
"20200405","AS",26
"20200406","AS",26
"20200407","AS",26
"20200408","AS",27
"20200409","AS",28
"20200410","AS",29
"20200411","AS",29
"20200412","AS",29
"20200413","AS",31
"20200414","AS",31
"20200415","AS",33
"20200416","AS",33
"20200417","AS",35
"20200418","AS",35
"20200419","AS",35
"20200420","AS",35
"20200421","AS",35
"20200310","BR",0
"20200311","BR",0
"20200312","BR",0
"20200313","BR",0
"20200314","BR",0
"20200315","BR",0
"20200316","BR",0
"20200317","BR",0
"20200318","BR",0
"20200319","BR",0
"20200320","BR",0
"20200321","BR",0
"20200322","BR",2
"20200323","BR",2
"20200324","BR",3
"20200325","BR",4
"20200326","BR",6
"20200327","BR",6
"20200328","BR",9
"20200329","BR",11
"20200330","BR",15
"20200331","BR",15
"20200401","BR",23
"20200402","BR",24
"20200403","BR",29
"20200404","BR",30
"20200405","BR",30
"20200406","BR",32
"20200407","BR",32
"20200408","BR",38
"20200409","BR",39
"20200410","BR",60
"20200411","BR",60
"20200412","BR",64
"20200413","BR",64
"20200414","BR",66
"20200415","BR",70
"20200416","BR",74
"20200417","BR",83
"20200418","BR",85
"20200419","BR",86
"20200420","BR",96
"20200421","BR",113
"20200310","CG",0
"20200311","CG",0
"20200312","CG",0
"20200313","CG",0
"20200314","CG",0
"20200315","CG",0
"20200316","CG",0
"20200317","CG",0
"20200318","CG",0
"20200319","CG",1
"20200320","CG",1
"20200321","CG",1
"20200322","CG",5
"20200323","CG",6
"20200324","CG",7
"20200325","CG",7
"20200326","CG",7
"20200327","CG",7
"20200328","CG",8
"20200329","CG",8
"20200330","CG",8
"20200331","CG",13
"20200401","CG",16
"20200402","CG",16
"20200403","CG",18
"20200404","CG",18
"20200405","CG",18
"20200406","CG",18
"20200407","CG",18
"20200408","CG",18
"20200409","CG",18
"20200410","CG",18
"20200411","CG",18
"20200412","CG",19
"20200413","CG",21
"20200414","CG",21
"20200415","CG",21
"20200416","CG",21
"20200417","CG",21
"20200418","CG",21
"20200419","CG",23
"20200420","CG",26
"20200421","CG",26
"20200310","CH",0
"20200311","CH",0
"20200312","CH",0
"20200313","CH",0
"20200314","CH",0
"20200315","CH",0
"20200316","CH",0
"20200317","CH",0
"20200318","CH",0
"20200319","CH",1
"20200320","CH",1
"20200321","CH",1
"20200322","CH",1
"20200323","CH",1
"20200324","CH",1
"20200325","CH",1
"20200326","CH",6
"20200327","CH",6
"20200328","CH",6
"20200329","CH",7
"20200330","CH",7
"20200331","CH",8
"20200401","CH",9
"20200402","CH",9
"20200403","CH",9
"20200404","CH",9
"20200405","CH",9
"20200406","CH",10
"20200407","CH",10
"20200408","CH",10
"20200409","CH",10
"20200410","CH",10
"20200411","CH",18
"20200412","CH",25
"20200413","CH",31
"20200414","CH",31
"20200415","CH",33
"20200416","CH",33
"20200417","CH",36
"20200418","CH",36
"20200419","CH",36
"20200420","CH",36
"20200421","CH",36
"20200310","DD",0
"20200311","DD",0
"20200312","DD",0
"20200313","DD",0
"20200314","DD",0
"20200315","DD",0
"20200316","DD",0
"20200317","DD",0
"20200318","DD",0
"20200319","DD",0
"20200320","DD",0
"20200321","DD",0
"20200322","DD",0
"20200323","DD",0
"20200324","DD",0
"20200325","DD",0
"20200326","DD",0
"20200327","DD",0
"20200328","DD",0
"20200329","DD",0
"20200330","DD",0
"20200331","DD",0
"20200401","DD",0
"20200402","DD",0
"20200403","DD",0
"20200404","DD",0
"20200405","DD",0
"20200406","DD",0
"20200407","DD",0
"20200408","DD",0
"20200409","DD",0
"20200410","DD",0
"20200411","DD",0
"20200412","DD",0
"20200413","DD",0
"20200414","DD",0
"20200415","DD",0
"20200416","DD",0
"20200417","DD",0
"20200418","DD",0
"20200419","DD",0
"20200420","DD",0
"20200421","DD",0
"20200310","DL",4
"20200311","DL",5
"20200312","DL",6
"20200313","DL",7
"20200314","DL",7
"20200315","DL",7
"20200316","DL",7
"20200317","DL",8
"20200318","DL",10
"20200319","DL",12
"20200320","DL",17
"20200321","DL",26
"20200322","DL",29
"20200323","DL",29
"20200324","DL",30
"20200325","DL",31
"20200326","DL",36
